"項目","平成15年度（2003）_現物社会移転以外の社会給付","平成15年度（2003）_現物社会移転_払い戻しによる社会保障給付","平成15年度（2003）_現物社会移転_その他の現物社会保障給付","平成15年度（2003)_合計","平成16年度（2004）_現物社会移転以外の社会給付","平成16年度（2004）_現物社会移転_払い戻しによる社会保障給付","平成16年度（2004）_現物社会移転_その他の現物社会保障給付","平成16年度（2004)_合計"
"１．社会保障給付","423220.0","8636.0","281580.0","713436.0","426571.0","9292.0","289991.0","725854.0"
"１．社会保障給付_(1)特別会計","349952.0","1121.0","34262.0","385334.0","351406.0","1318.0","34492.0","387217.0"
"１．社会保障給付_(1)特別会計_①厚生保険(除児童手当)","328703.0","1114.0","31720.0","361537.0","334109.0","1312.0","31983.0","367404.0"
"１．社会保障給付_(1)特別会計_①厚生保険(除児童手当)_ａ．健康保険","2956.0","1114.0","31720.0","35790.0","2921.0","1312.0","31983.0","36216.0"
"１．社会保障給付_(1)特別会計_①厚生保険(除児童手当)_ｂ．厚生年金","193347.0","0.0","0.0","193347.0","195273.0","0.0","0.0","195273.0"
"１．社会保障給付_(1)特別会計_①厚生保険(除児童手当)_ｃ．国民年金","132400.0","0.0","0.0","132400.0","135916.0","0.0","0.0","135916.0"
"１．社会保障給付_(1)特別会計_②労働保険","21083.0","0.0","2351.0","23434.0","17174.0","0.0","2336.0","19510.0"
"１．社会保障給付_(1)特別会計_②労働保険_ａ．労災保険","7765.0","0.0","2351.0","10115.0","7551.0","0.0","2336.0","9888.0"
"１．社会保障給付_(1)特別会計_②労働保険_ｂ．雇用保険","13318.0","0.0","0.0","13318.0","9623.0","0.0","0.0","9623.0"
"１．社会保障給付_(1)特別会計_③船員保険","165.0","6.0","191.0","363.0","123.0","6.0","174.0","303.0"
"１．社会保障給付_(2)国民健康保険","1228.0","5670.0","56383.0","63281.0","1239.0","6007.0","60568.0","67814.0"
"１．社会保障給付_(3)後期高齢者医療","0.0","4.0","109843.0","109847.0","0.0","4.0","109546.0","109550.0"
"１．社会保障給付_(4)共済組合","63487.0","260.0","2482.0","66229.0","64070.0","260.0","2460.0","66790.0"
"１．社会保障給付_(4)共済組合_①国家公務員共済組合","10783.0","11.0","144.0","10938.0","10790.0","13.0","147.0","10950.0"
"１．社会保障給付_(4)共済組合_①国家公務員共済組合_ａ．短期経理","18.0","11.0","144.0","173.0","18.0","13.0","147.0","178.0"
"１．社会保障給付_(4)共済組合_①国家公務員共済組合_ｂ．長期経理","10765.0","0.0","0.0","10765.0","10772.0","0.0","0.0","10772.0"
"１．社会保障給付_(4)共済組合_②地方公務員共済組合","50765.0","90.0","907.0","51762.0","51388.0","95.0","924.0","52406.0"
"１．社会保障給付_(4)共済組合_②地方公務員共済組合_ａ．短期経理","153.0","90.0","907.0","1150.0","158.0","95.0","924.0","1177.0"
"１．社会保障給付_(4)共済組合_②地方公務員共済組合_ｂ．長期経理","50612.0","0.0","0.0","50612.0","51230.0","0.0","0.0","51230.0"
"１．社会保障給付_(4)共済組合_③その他(旧公共企業退職員共済組合を含む)","1939.0","158.0","1432.0","3529.0","1892.0","153.0","1389.0","3433.0"
"１．社会保障給付_(4)共済組合_③その他(旧公共企業退職員共済組合を含む)_ａ．短期経理","174.0","158.0","1432.0","1765.0","175.0","153.0","1389.0","1717.0"
"１．社会保障給付_(4)共済組合_③その他(旧公共企業退職員共済組合を含む)_ｂ．長期経理","1765.0","0.0","0.0","1765.0","1717.0","0.0","0.0","1717.0"
"１．社会保障給付_(5)組合管掌健康保険","1526.0","1132.0","16178.0","18836.0","1537.0","1210.0","16168.0","18915.0"
"１．社会保障給付_(6)全国健康保険協会","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"１．社会保障給付_(7)児童手当","4095.0","0.0","0.0","4095.0","5613.0","0.0","0.0","5613.0"
"１．社会保障給付_(8)基金","2313.0","0.0","78.0","2391.0","2160.0","0.0","76.0","2235.0"
"１．社会保障給付_(9)介護保険","621.0","449.0","62354.0","63423.0","548.0","492.0","66681.0","67721.0"
"２．無基金雇用者社会給付","20652.0","0.0","0.0","20652.0","18122.0","0.0","0.0","18122.0"
"３．社会扶助給付","83813.0","0.0","0.0","83813.0","84896.0","0.0","0.0","84896.0"
"合計","527686.0","8636.0","281580.0","817901.0","529589.0","9292.0","289991.0","828871.0"
