"項目","平成21年度（2009）_現物社会移転以外の社会給付","平成21年度（2009）_現物社会移転_払い戻しによる社会保障給付","平成21年度（2009）_現物社会移転_その他の現物社会保障給付","平成21年度（2009)_合計","平成22年度（2010）_現物社会移転以外の社会給付","平成22年度（2010）_現物社会移転_払い戻しによる社会保障給付","平成22年度（2010）_現物社会移転_その他の現物社会保障給付","平成22年度（2010)_合計"
"１．社会保障給付","484979.0","14404.0","323821.0","823204.0","501146.0","15529.0","330457.0","847132.0"
"１．社会保障給付_(1)特別会計","400065.0","1.0","2209.0","402275.0","404291.0","0.0","2130.0","406421.0"
"１．社会保障給付_(1)特別会計_①厚生保険(除児童手当)","383086.0","0.0","0.0","383086.0","388688.0","0.0","0.0","388688.0"
"１．社会保障給付_(1)特別会計_①厚生保険(除児童手当)_ａ．健康保険","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"１．社会保障給付_(1)特別会計_①厚生保険(除児童手当)_ｂ．厚生年金","215890.0","0.0","0.0","215890.0","219478.0","0.0","0.0","219478.0"
"１．社会保障給付_(1)特別会計_①厚生保険(除児童手当)_ｃ．国民年金","167196.0","0.0","0.0","167196.0","169211.0","0.0","0.0","169211.0"
"１．社会保障給付_(1)特別会計_②労働保険","16933.0","0.0","2047.0","18979.0","15603.0","0.0","2130.0","17733.0"
"１．社会保障給付_(1)特別会計_②労働保険_ａ．労災保険","6948.0","0.0","2047.0","8995.0","6760.0","0.0","2130.0","8890.0"
"１．社会保障給付_(1)特別会計_②労働保険_ｂ．雇用保険","9984.0","0.0","0.0","9984.0","8843.0","0.0","0.0","8843.0"
"１．社会保障給付_(1)特別会計_③船員保険","47.0","1.0","162.0","210.0","－","ー","ー","ー"
"１．社会保障給付_(2)国民健康保険","990.0","7861.0","72648.0","81499.0","1029.0","8409.0","74088.0","83526.0"
"１．社会保障給付_(3)後期高齢者医療","0.0","3077.0","112352.0","115429.0","0.0","3486.0","111903.0","115389.0"
"１．社会保障給付_(4)共済組合","67783.0","270.0","2678.0","70730.0","68976.0","321.0","3011.0","72308.0"
"１．社会保障給付_(4)共済組合_①国家公務員共済組合","11965.0","12.0","150.0","12127.0","12331.0","14.0","161.0","12505.0"
"１．社会保障給付_(4)共済組合_①国家公務員共済組合_ａ．短期経理","19.0","12.0","150.0","181.0","21.0","14.0","161.0","195.0"
"１．社会保障給付_(4)共済組合_①国家公務員共済組合_ｂ．長期経理","11946.0","0.0","0.0","11946.0","12310.0","0.0","0.0","12310.0"
"１．社会保障給付_(4)共済組合_②地方公務員共済組合","53780.0","96.0","1015.0","54891.0","54299.0","113.0","1159.0","55572.0"
"１．社会保障給付_(4)共済組合_②地方公務員共済組合_ａ．短期経理","190.0","96.0","1015.0","1301.0","241.0","113.0","1159.0","1513.0"
"１．社会保障給付_(4)共済組合_②地方公務員共済組合_ｂ．長期経理","53590.0","0.0","0.0","53590.0","54058.0","0.0","0.0","54058.0"
"１．社会保障給付_(4)共済組合_③その他(旧公共企業退職員共済組合を含む)","2037.0","162.0","1512.0","3712.0","2345.0","195.0","1691.0","4231.0"
"１．社会保障給付_(4)共済組合_③その他(旧公共企業退職員共済組合を含む)_ａ．短期経理","182.0","162.0","1512.0","1856.0","230.0","195.0","1691.0","2115.0"
"１．社会保障給付_(4)共済組合_③その他(旧公共企業退職員共済組合を含む)_ｂ．長期経理","1856.0","0.0","0.0","1856.0","2115.0","0.0","0.0","2115.0"
"１．社会保障給付_(5)組合管掌健康保険","1989.0","1099.0","18290.0","21378.0","2070.0","1137.0","18862.0","22069.0"
"１．社会保障給付_(6)全国健康保険協会","3238.0","514.0","35480.0","39232.0","3378.0","467.0","36760.0","40606.0"
"１．社会保障給付_(7)児童手当","8692.0","0.0","0.0","8692.0","19173.0","0.0","0.0","19173.0"
"１．社会保障給付_(8)基金","1688.0","0.0","67.0","1755.0","1648.0","0.0","68.0","1716.0"
"１．社会保障給付_(9)介護保険","534.0","1582.0","80097.0","82213.0","580.0","1708.0","83635.0","85923.0"
"２．無基金雇用者社会給付","21366.0","0.0","0.0","21366.0","20806.0","0.0","0.0","20806.0"
"３．社会扶助給付","87078.0","0.0","0.0","87078.0","90329.0","0.0","0.0","90329.0"
"合計","593424.0","14404.0","323821.0","931648.0","612281.0","15529.0","330457.0","958267.0"
